"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
2;"K8";"DSHP03TS-S";1;"DSHP03TS-S";;;
3;"U2";"SOIC-14";1;"ATTINY404-SSNR";;;
4;"C4";"0603C";1;"C1608X7S1A475K080AC";;;
5;"Q2,Q1";"SOT-23-3";2;"NPN-SOT-23-3";;;
6;"R5,R6";"0603R";2;"10k";;;
7;"C2,C3";"0603C";2;"CL10A226MPCNUBE";;;
8;"H2,H4,H3,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
9;"JP2,JP1,JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";3;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
10;"D3";"0402LED";1;"purple";;;
11;"R2,R7,R9";"0402R";3;"2k2";;;
12;"K4,K1";"easyC-connector";2;"easyC-SMD";;;
13;"U1,U3";"PC357_OPTO";2;"PC357_OPTO";;;
14;"R4,R11";"0603R";2;"10R";;;
15;"R3,R10";"0603R";2;"330R";;;
16;"D1,D4";"0402LED";2;"blue";;;
17;"C1";"0603C";1;"0.1uF";;;
18;"K3,K6";"SRD_RELAY_5V";2;"SRD-05VDC-SL-C";;;
19;"U4";"tps613222a";1;"TPS613222A";;;
20;"R1,R8";"0603R";2;"100R";;;
21;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
22;"D5,D2";"M4_DIODA";2;"M4_DIODA";;;
23;"FD1,FD2";"FIDUCIAL_23";2;"FIDUCIAL";;;
24;"K7,K5";"TERMINAL_KF235-5.0-3P";2;"TERMINAL_KF235-5.0-3P";;;
